epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.918,0.42633,1.69317,0.91826,0.96955,0.92832,0.98812,0.94795,0.30666,2.3242,0.80553,0.000468772,0.000468772,0.000468772
2,667.281,0.41424,0.93471,0.89254,0.98968,0.99473,0.9916,0.94812,0.32092,1.0828,0.79756,0.000926393,0.000926393,0.000926393
3,997.517,0.40922,0.80102,0.87844,0.98505,0.98102,0.98926,0.92736,0.36334,0.8212,0.81176,0.00136515,0.00136515,0.00136515
4,1327.38,0.4178,0.72269,0.87943,0.98952,0.97972,0.98926,0.95443,0.31599,0.70674,0.79929,0.00134412,0.00134412,0.00134412
5,1657.92,0.40111,0.60815,0.87861,0.99049,0.99214,0.9916,0.96884,0.28133,0.51489,0.78902,0.00131582,0.00131582,0.00131582
6,1988.16,0.39314,0.55001,0.8733,0.99875,0.99342,0.99168,0.98313,0.23848,0.37964,0.77964,0.00128753,0.00128753,0.00128753
7,2318.96,0.36501,0.4794,0.87499,0.99081,0.98903,0.99073,0.97377,0.23275,0.46268,0.77894,0.00125923,0.00125923,0.00125923
8,2650.5,0.35922,0.4302,0.86167,0.99917,0.99617,0.9917,0.97619,0.249,0.34598,0.77859,0.00123094,0.00123094,0.00123094
9,2981.21,0.36129,0.42232,0.87191,0.98692,0.99219,0.99136,0.97145,0.23696,0.31846,0.77713,0.00120265,0.00120265,0.00120265
10,3312.37,0.33993,0.3822,0.86719,0.98986,0.99329,0.98967,0.97908,0.24761,0.30446,0.78065,0.00117435,0.00117435,0.00117435
11,3649.64,0.33249,0.38084,0.86922,0.98918,0.99205,0.99029,0.97826,0.21516,0.26424,0.77923,0.00114606,0.00114606,0.00114606
12,3986.55,0.32228,0.36534,0.85985,0.99339,0.99547,0.99225,0.98242,0.19753,0.22689,0.77257,0.00111776,0.00111776,0.00111776
13,4323.34,0.29451,0.3061,0.85618,0.9982,0.9924,0.99197,0.98397,0.18695,0.20465,0.76916,0.00108947,0.00108947,0.00108947
14,4660.55,0.29028,0.30515,0.85801,0.99809,0.99617,0.99207,0.98435,0.17962,0.20088,0.76731,0.00106118,0.00106118,0.00106118
15,4997.71,0.2966,0.30903,0.85303,0.99815,0.99617,0.99217,0.98364,0.17821,0.18487,0.77106,0.00103288,0.00103288,0.00103288
16,5334.87,0.30128,0.30311,0.8642,0.99488,0.99617,0.99178,0.98536,0.17382,0.22277,0.76551,0.00100459,0.00100459,0.00100459
17,5672.19,0.29208,0.29277,0.85899,0.99715,0.99262,0.99222,0.9826,0.20601,0.1951,0.77249,0.000976293,0.000976293,0.000976293
18,6009.25,0.29542,0.29436,0.85433,0.9987,0.99617,0.99229,0.98635,0.18598,0.18419,0.76282,0.000947999,0.000947999,0.000947999
19,6346.03,0.26908,0.26951,0.8446,0.99878,0.99617,0.9925,0.98907,0.14845,0.15087,0.75916,0.000919704,0.000919704,0.000919704
20,6683.21,0.27681,0.26866,0.85424,0.99123,0.99588,0.99477,0.98602,0.17992,0.17718,0.76232,0.00089141,0.00089141,0.00089141
21,7020.3,0.28389,0.27093,0.86163,0.99827,0.99617,0.99203,0.98614,0.18093,0.1719,0.76543,0.000863116,0.000863116,0.000863116
22,7357.35,0.2889,0.27526,0.85492,0.99482,0.99617,0.99208,0.98914,0.16716,0.16295,0.76423,0.000834822,0.000834822,0.000834822
23,7694.75,0.27649,0.26677,0.85215,0.99677,0.99617,0.99221,0.98823,0.16172,0.15739,0.76387,0.000806528,0.000806528,0.000806528
24,8032.31,0.27219,0.25877,0.8534,0.99509,0.99617,0.99225,0.98959,0.17027,0.15324,0.76261,0.000778233,0.000778233,0.000778233
25,8370.14,0.27151,0.25714,0.85666,0.99907,0.99617,0.99283,0.99109,0.15641,0.14407,0.75822,0.000749939,0.000749939,0.000749939
26,8708.66,0.25664,0.2486,0.84834,0.99552,0.99617,0.99313,0.99167,0.14307,0.13349,0.75475,0.000721645,0.000721645,0.000721645
